Time,Q1,T1
1.710000000000000000e+02,1.785000000000000000e+02,6.891495601173019736e+01
1.720000000000000000e+02,1.785000000000000000e+02,6.940371456500488989e+01
1.730000000000000000e+02,1.785000000000000000e+02,6.891495601173019736e+01
1.740000000000000000e+02,1.785000000000000000e+02,6.989247311827958242e+01
1.750000000000000000e+02,1.785000000000000000e+02,6.989247311827958242e+01
1.760000000000000000e+02,1.785000000000000000e+02,6.891495601173019736e+01
1.770000000000000000e+02,1.785000000000000000e+02,7.038123167155426074e+01
1.780000000000000000e+02,1.785000000000000000e+02,6.989247311827958242e+01
1.790000000000000000e+02,1.785000000000000000e+02,7.038123167155426074e+01
1.800000000000000000e+02,1.785000000000000000e+02,7.038123167155426074e+01
1.810000000000000000e+02,1.785000000000000000e+02,7.038123167155426074e+01
1.820000000000000000e+02,1.785000000000000000e+02,7.038123167155426074e+01
1.830000000000000000e+02,1.785000000000000000e+02,7.086999022482893906e+01
1.840000000000000000e+02,1.785000000000000000e+02,7.135874877810361738e+01
1.850000000000000000e+02,1.785000000000000000e+02,7.135874877810361738e+01
1.860000000000000000e+02,1.785000000000000000e+02,7.135874877810361738e+01
1.870000000000000000e+02,1.785000000000000000e+02,7.135874877810361738e+01
1.880000000000000000e+02,1.785000000000000000e+02,7.184750733137829570e+01
1.890000000000000000e+02,1.785000000000000000e+02,7.184750733137829570e+01
1.900000000000000000e+02,1.785000000000000000e+02,7.086999022482893906e+01
1.910000000000000000e+02,1.785000000000000000e+02,7.233626588465298823e+01
1.920000000000000000e+02,1.785000000000000000e+02,7.233626588465298823e+01
1.930000000000000000e+02,1.785000000000000000e+02,7.184750733137829570e+01
1.940000000000000000e+02,1.785000000000000000e+02,7.282502443792766655e+01
1.950000000000000000e+02,1.785000000000000000e+02,7.282502443792766655e+01
1.960000000000000000e+02,1.785000000000000000e+02,7.233626588465298823e+01
1.970000000000000000e+02,1.785000000000000000e+02,7.233626588465298823e+01
1.980000000000000000e+02,1.785000000000000000e+02,7.380254154447702319e+01
1.990000000000000000e+02,1.785000000000000000e+02,7.380254154447702319e+01
2.000000000000000000e+02,1.785000000000000000e+02,7.429130009775170151e+01
2.010000000000000000e+02,1.785000000000000000e+02,7.429130009775170151e+01
2.020000000000000000e+02,1.785000000000000000e+02,7.429130009775170151e+01
2.030000000000000000e+02,1.785000000000000000e+02,7.478005865102639405e+01
2.040000000000000000e+02,1.785000000000000000e+02,7.478005865102639405e+01
2.050000000000000000e+02,1.785000000000000000e+02,7.526881720430108658e+01
2.060000000000000000e+02,1.785000000000000000e+02,7.526881720430108658e+01
2.070000000000000000e+02,1.785000000000000000e+02,7.429130009775170151e+01
2.080000000000000000e+02,1.785000000000000000e+02,7.575757575757576490e+01
2.090000000000000000e+02,1.785000000000000000e+02,7.575757575757576490e+01
2.100000000000000000e+02,1.785000000000000000e+02,7.624633431085044322e+01
2.110000000000000000e+02,1.785000000000000000e+02,7.624633431085044322e+01
2.120000000000000000e+02,1.785000000000000000e+02,7.624633431085044322e+01
2.130000000000000000e+02,1.785000000000000000e+02,7.624633431085044322e+01
2.140000000000000000e+02,1.785000000000000000e+02,7.624633431085044322e+01
2.150000000000000000e+02,1.785000000000000000e+02,7.673509286412512154e+01
2.160000000000000000e+02,1.785000000000000000e+02,7.673509286412512154e+01
2.170000000000000000e+02,1.785000000000000000e+02,7.722385141739979986e+01
2.180000000000000000e+02,1.785000000000000000e+02,7.722385141739979986e+01
2.190000000000000000e+02,1.785000000000000000e+02,7.771260997067449239e+01
2.200000000000000000e+02,1.785000000000000000e+02,7.820136852394917071e+01
2.210000000000000000e+02,1.785000000000000000e+02,7.820136852394917071e+01
2.220000000000000000e+02,1.785000000000000000e+02,7.917888563049852735e+01
2.230000000000000000e+02,1.785000000000000000e+02,7.820136852394917071e+01
2.240000000000000000e+02,1.785000000000000000e+02,7.722385141739979986e+01
2.250000000000000000e+02,1.785000000000000000e+02,7.869012707722384903e+01
2.260000000000000000e+02,1.785000000000000000e+02,7.869012707722384903e+01
2.270000000000000000e+02,1.785000000000000000e+02,7.820136852394917071e+01
2.280000000000000000e+02,1.785000000000000000e+02,7.917888563049852735e+01
2.290000000000000000e+02,1.785000000000000000e+02,7.966764418377321988e+01
2.300000000000000000e+02,1.785000000000000000e+02,7.966764418377321988e+01
2.310000000000000000e+02,1.785000000000000000e+02,7.869012707722384903e+01
2.320000000000000000e+02,1.785000000000000000e+02,7.966764418377321988e+01
2.330000000000000000e+02,1.785000000000000000e+02,8.015640273704789820e+01
2.340000000000000000e+02,1.785000000000000000e+02,8.015640273704789820e+01
2.350000000000000000e+02,1.785000000000000000e+02,8.015640273704789820e+01
2.360000000000000000e+02,1.785000000000000000e+02,8.064516129032259073e+01
2.370000000000000000e+02,1.785000000000000000e+02,8.064516129032259073e+01
2.380000000000000000e+02,1.785000000000000000e+02,8.162267839687194737e+01
2.390000000000000000e+02,1.785000000000000000e+02,8.113391984359726905e+01
2.400000000000000000e+02,1.785000000000000000e+02,8.015640273704789820e+01
2.410000000000000000e+02,1.785000000000000000e+02,8.064516129032259073e+01
2.420000000000000000e+02,1.785000000000000000e+02,8.015640273704789820e+01
2.430000000000000000e+02,1.785000000000000000e+02,8.064516129032259073e+01
2.440000000000000000e+02,1.785000000000000000e+02,8.211143695014662569e+01
2.450000000000000000e+02,1.785000000000000000e+02,8.113391984359726905e+01
2.460000000000000000e+02,1.785000000000000000e+02,8.260019550342130401e+01
2.470000000000000000e+02,1.785000000000000000e+02,8.260019550342130401e+01
